Column1,Content ID,ReactionType,Datetime,Datetime,Year,Month,Content Type,Category,Sentiment,Score,count post,,Category,Sum,,,
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,07/11/2020,07/11/2020 09:43,2020,11,photo,Studying,negative,0,2034,,Animals,74965,,,
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,17/06/2021,17/06/2021 12:22,2021,6,photo,Studying,negative,10,2021,,cooking,64778,,,
3,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,18/04/2021,18/04/2021 05:13,2021,4,photo,Studying,negative,15,1974,,culture,66216,,,
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,06/01/2021,06/01/2021 19:13,2021,1,photo,Studying,negative,0,2126,,dogs,53241,,,
5,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,23/08/2020,23/08/2020 12:25,2020,8,photo,Studying,positive,30,2114,,education,57635,,,
6,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,07/12/2020,07/12/2020 06:27,2020,12,photo,Studying,neutral,35,2092,,,,,,
7,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,11/04/2021,11/04/2021 17:35,2021,4,photo,Studying,positive,70,1974,,,,,,
8,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,27/01/2021,27/01/2021 08:32,2021,1,photo,Studying,negative,5,2126,,,,,,
9,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,01/04/2021,01/04/2021 22:54,2021,4,photo,Studying,neutral,35,1974,,,,,,
10,97522e57-d9ab-4bd6-97bf-c24d952602d2,love,04/08/2020,04/08/2020 05:05,2020,8,photo,Studying,positive,65,2114,,,,,,
11,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,07/11/2020,07/11/2020 08:36,2020,11,photo,Studying,neutral,20,2034,,,,,,
12,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,02/11/2020,02/11/2020 06:28,2020,11,photo,Studying,negative,15,2034,,,,,,
13,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,01/11/2020,01/11/2020 01:16,2020,11,photo,Studying,positive,30,2034,,,,,,
14,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,07/10/2020,07/10/2020 18:39,2020,10,photo,Studying,negative,5,2056,,,,,,
15,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,03/09/2020,03/09/2020 18:51,2020,9,photo,Studying,negative,15,2022,,,,,,
16,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,24/02/2021,24/02/2021 05:09,2021,2,photo,Studying,positive,75,1914,,,,,,
17,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,23/09/2020,23/09/2020 06:24,2020,9,photo,Studying,neutral,35,2022,,,,,,
18,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,24/02/2021,24/02/2021 11:37,2021,2,photo,Studying,neutral,20,1914,,,,,,
19,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,22/05/2021,22/05/2021 19:44,2021,5,photo,Studying,positive,30,2138,,,,,,
20,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,31/01/2021,31/01/2021 16:03,2021,1,photo,Studying,positive,45,2126,,,,,,
21,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,20/11/2020,20/11/2020 17:26,2020,11,photo,Studying,neutral,35,2034,,,,,,
22,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,11/04/2021,11/04/2021 20:47,2021,4,photo,Studying,negative,12,1974,,,,,,
23,97522e57-d9ab-4bd6-97bf-c24d952602d2,like,13/06/2021,13/06/2021 16:46,2021,6,photo,Studying,positive,50,2021,,,,,,
24,97522e57-d9ab-4bd6-97bf-c24d952602d2,heart,11/04/2021,11/04/2021 14:29,2021,4,photo,Studying,positive,60,1974,,,,,,
25,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,02/03/2021,02/03/2021 19:21,2021,3,photo,Studying,negative,12,2012,,,,,,
26,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,27/06/2020,27/06/2020 18:44,2020,6,photo,Studying,negative,5,2021,,,,,,
27,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,09/05/2021,09/05/2021 21:05,2021,5,photo,Studying,negative,5,2138,,,,,,
28,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,04/08/2020,04/08/2020 23:58,2020,8,photo,Studying,positive,70,2114,,,,,,
